batch,run,position,season,k,universe,targets,S,first_feature_season,n_board_vet,n_vet,rho_points_fullvet,mae_games_fullvet,bias_games_fullvet,rho_points,pearson_points,mae_games,bias_games,rho_games,mae_naive_games,coverage
VERIFY,VD1,QB,2019,0,m_panel_ppr12,2013-2024,12,2002,19,72,0.6844431251913631,3.71377431053172,0.3956206777495699,0.3087719298245613,0.2592277727973079,3.991389678393969,-3.4975544575610646,-0.0612093840351062,2.3157894736842106,
VERIFY,VD1,QB,2020,0,m_panel_ppr12,2013-2024,12,2002,19,73,0.7517742866966013,3.481502928047852,-0.4611691896944502,0.4578947368421052,0.433642046400932,3.995602775387554,-2.327493102651548,0.0731861134494494,2.894736842105264,
VERIFY,VD1,QB,2021,0,m_panel_ppr12,2013-2024,12,2002,19,73,0.7052078498386903,3.454700855068774,0.4736187847271547,0.131578947368421,0.1022932952213718,4.058358810928713,-2.224023936854135,-0.0896377362386685,3.3157894736842106,
VERIFY,VD1,QB,2022,0,m_panel_ppr12,2013-2024,12,2002,19,77,0.7399329869935508,2.856627419691409,-0.2104726877049661,0.5070175438596491,0.6523160249655527,2.7813473613948605,-1.3320532027793557,0.5728981347179936,1.947368421052632,
VERIFY,VD1,QB,2023,0,m_panel_ppr12,2013-2024,12,2002,23,79,0.6038082226738627,3.995512092758129,-0.2390561608861482,0.0553359683794466,0.0939563470710933,4.672273477622528,-1.955147836944581,-0.0241550170623353,4.304347826086956,
VERIFY,VD1,QB,2024,0,m_panel_ppr12,2013-2024,12,2002,23,85,0.7070533271597402,3.3875308923854024,-0.1949095715190474,0.3527667984189723,0.4415390979220183,4.624921064002566,-3.5006266706416653,-0.017365355384015,3.869565217391304,
VERIFY,VD1,RB,2013,0,m_panel_ppr12,2013-2024,12,2002,1,121,0.7392982553754147,4.879137325569323,0.3452394126607002,,,,,,,
VERIFY,VD1,RB,2014,0,m_panel_ppr12,2013-2024,12,2002,3,118,0.6635220246866226,4.287083333841668,0.5116824161996671,,,,,,,
VERIFY,VD1,RB,2015,0,m_panel_ppr12,2013-2024,12,2002,3,114,0.6417602525120533,4.024614761438775,0.2916242234195642,,,,,,,
VERIFY,VD1,RB,2016,0,m_panel_ppr12,2013-2024,12,2002,9,123,0.5860252544180337,4.556990315082498,0.7301535252589231,,,,,,,
VERIFY,VD1,RB,2017,0,m_panel_ppr12,2013-2024,12,2002,13,122,0.5909592550283898,4.875703894121015,-0.0424809501878499,0.6153846153846153,0.3301877606308825,5.275231873396802,-1.936229185705937,0.2123921538858041,4.615384615384615,
VERIFY,VD1,RB,2018,0,m_panel_ppr12,2013-2024,12,2002,27,120,0.6401527217536971,4.273655171256716,0.4174218394430073,0.3931623931623931,0.4553570337992164,3.3372097077511174,-2.008881268022059,0.334906697162315,3.0,
VERIFY,VD1,RB,2019,0,m_panel_ppr12,2013-2024,12,2002,34,118,0.7132411209469527,4.501034438226647,-0.0546587660077393,0.388235294117647,0.5237973889291863,3.704991485690737,-3.1939418215908986,0.1826581784899373,2.735294117647059,
VERIFY,VD1,RB,2020,0,m_panel_ppr12,2013-2024,12,2002,44,119,0.6630331293638363,3.901658401100112,-0.4893348354043925,0.3952078928823114,0.3679047855264635,4.455663362784406,-0.989283573819006,-0.1220076696705203,4.886363636363637,
VERIFY,VD1,RB,2021,0,m_panel_ppr12,2013-2024,12,2002,54,116,0.5841107296164358,4.615222178213186,0.2954403929520307,0.6051076805793786,0.5975747193945952,4.013531218346712,-2.4678509826326698,0.1406320134747659,4.12962962962963,
VERIFY,VD1,RB,2022,0,m_panel_ppr12,2013-2024,12,2002,41,123,0.7027260950634867,4.611749675984535,-0.0908153438536971,0.3362369337979094,0.300863184955882,4.565584311406997,-3.4385069538553807,0.0897605983522869,4.0,
