factor,class,position,raw_rho_pooled,raw_n,partial_rho_pooled,partial_n,raw_rho_matched,priorpoints_rho_matched,matched_n,beats_aggregate_delta,per_season,n_seasons_pos,n_seasons_neg,n_seasons_zero,ledger_row
is_contract_year,EXOGENOUS,WR,-0.2095928443230034,1297,-0.15971971304042193,942,-0.2820126292940037,0.6661307286511747,942,-0.9481433579451785,"{2013: -0.0785, 2014: -0.1516, 2015: -0.2138, 2016: 0.0462, 2017: -0.1745, 2018: -0.294, 2019: -0.2919}",1,6,0,T1-27/C4-K
hc_disruption,EXOGENOUS,WR,-0.03398911475288166,1386,-0.035587514525367174,980,-0.05375917172145197,0.6937932482711296,980,-0.7475524199925816,"{2013: 0.0102, 2014: -0.0757, 2015: 0.0268, 2016: -0.1067, 2017: -0.0574, 2018: -0.0356, 2019: 0.0002}",3,4,0,T1-29b/C4-L
two_wr_rate,EXOGENOUS,WR,0.04790130148853332,645,0.02987112416490053,450,0.02360911789187011,0.694590583136205,450,-0.6709814652443349,"{2013: None, 2014: None, 2015: None, 2016: None, 2017: 0.024, 2018: 0.0892, 2019: 0.0101}",3,0,0,T1-31/N25/C4-N
proe,EXOGENOUS,WR,0.05008084047423076,1505,0.013001651418225044,1069,0.06266362471128219,0.6768837048929908,1069,-0.6142200801817086,"{2013: 0.1174, 2014: 0.0833, 2015: 0.05, 2016: 0.1225, 2017: 0.0068, 2018: -0.0409, 2019: -0.0306}",5,2,0,T1-22
oc_disruption,EXOGENOUS,WR,-0.03138499323821137,1418,-0.016737088993412454,1003,-0.024542658418179188,0.6750887747889872,1003,-0.6996314332071664,"{2013: -0.0082, 2014: -0.0214, 2015: 0.0252, 2016: -0.0509, 2017: -0.0939, 2018: -0.0405, 2019: -0.0098}",1,6,0,T1-29/T1-30/N21/N22
age,EXOGENOUS,WR,0.15437264189258942,1498,-0.14781636862288075,1065,0.029041097532921313,0.6756812116680425,1065,-0.6466401141351212,"{2013: 0.1541, 2014: 0.1188, 2015: 0.0711, 2016: 0.1745, 2017: 0.2853, 2018: 0.155, 2019: 0.138}",7,0,0,T0-7
draft_capital,EXOGENOUS,WR,-0.4412141552314606,1505,-0.13303587640758013,1069,-0.3674648504804973,0.6768837048929908,1069,-1.0443485553734881,"{2013: -0.4324, 2014: -0.4542, 2015: -0.4466, 2016: -0.3649, 2017: -0.3892, 2018: -0.4543, 2019: -0.5216}",0,7,0,T1-25
share_level,CONSTITUENT,WR,0.6776372656246532,1125,0.1853542450224485,1069,0.6714271495335185,0.6768837048929908,1069,-0.005456555359472315,"{2013: 0.6298, 2014: 0.6943, 2015: 0.6883, 2016: 0.6896, 2017: 0.6896, 2018: 0.7135, 2019: 0.6592}",7,0,0,T0-8
adot,AMBIGUOUS,WR,0.07517842045719117,1102,0.014050062979259186,1049,0.0695632927975071,0.66799305077762,1049,-0.5984297579801129,"{2013: 0.1604, 2014: 0.1746, 2015: 0.0495, 2016: 0.1033, 2017: 0.0153, 2018: 0.0067, 2019: 0.0076}",7,0,0,T1-14
depth_rostered_absent,EXOGENOUS,WR,-0.2915890351528362,1126,0.05594032488190312,1069,-0.335783591361671,0.6768837048929908,1069,-1.0126672962546617,"{2013: -0.296, 2014: -0.4452, 2015: -0.3148, 2016: -0.2312, 2017: -0.2593, 2018: -0.2744, 2019: -0.2427}",0,7,0,T0-5
depth_offroster,EXOGENOUS,WR,-0.2597348330301415,1126,0.059885029629429876,1069,-0.2244472931618526,0.6768837048929908,1069,-0.9013309980548434,"{2013: -0.3108, 2014: -0.1707, 2015: -0.2519, 2016: -0.2765, 2017: -0.2444, 2018: -0.259, 2019: -0.3007}",0,7,0,T0-5
depth_first_share,EXOGENOUS,WR,0.4396411791825816,1126,-0.019641268863384687,1069,0.42897023482915986,0.6768837048929908,1069,-0.2479134700638309,"{2013: 0.4898, 2014: 0.4675, 2015: 0.4734, 2016: 0.4159, 2017: 0.4955, 2018: 0.3797, 2019: 0.3958}",7,0,0,T0-5
