column,target,n,spearman_rho,p_raw,abs_rho,rank,position
ppg_w,signed_resid,758,-0.21648374930943845,1.7237853496727763e-09,0.21648374930943845,30,WR
present_1,signed_resid,827,-0.1807603432471291,1.662920704510085e-07,0.1807603432471291,31,WR
proj_carries,signed_resid,827,-0.17280934075939947,5.741137727778127e-07,0.17280934075939947,32,WR
proj_rush_yards,signed_resid,827,-0.1710452245784552,7.501126511241612e-07,0.1710452245784552,33,WR
proj_rush_tds,signed_resid,827,-0.16626756285607155,1.5265540086023223e-06,0.16626756285607155,34,WR
average_pick,signed_resid,220,0.14884433469710712,0.027282464926138478,0.14884433469710712,35,WR
carries_1,signed_resid,827,-0.12786141728546147,0.0002272983662087448,0.12786141728546147,36,WR
age,signed_resid,827,0.08896257808979931,0.010480540521561563,0.08896257808979931,37,WR
proj_ypr,signed_resid,827,-0.07823151900197925,0.024461815900942034,0.07823151900197925,38,WR
wk1_injury_report_flag,signed_resid,827,-0.07785630338519667,0.025157619860187715,0.07785630338519667,39,WR
rushtd_1,signed_resid,827,-0.07675260384386902,0.02730433334121705,0.07675260384386902,40,WR
rostered_absent_share_1,signed_resid,827,0.07467387602602901,0.031777966459700595,0.07467387602602901,41,WR
att_1,signed_resid,827,-0.06901241083188077,0.04725630459344043,0.06901241083188077,42,WR
rushyds_1,signed_resid,827,-0.060648983331495245,0.08131852333053977,0.060648983331495245,43,WR
proj_td_per_target,signed_resid,827,-0.05592396704785568,0.10804015967691383,0.05592396704785568,44,WR
inj_out_wks_1,signed_resid,827,0.03923111526663667,0.25977612493407903,0.03923111526663667,45,WR
inj_missed_share_1,signed_resid,827,0.03745758306008187,0.28195463561325107,0.03745758306008187,46,WR
passtd_1,signed_resid,827,0.03429163959404459,0.3246517676033077,0.03429163959404459,47,WR
miss1_x_resolved,signed_resid,827,0.033777557864698854,0.331962072163987,0.033777557864698854,48,WR
passyds_1,signed_resid,827,-0.03135730086661574,0.3677912036654656,0.03135730086661574,49,WR
proj_catch_rate,signed_resid,827,-0.022561918356938715,0.5170315867034904,0.022561918356938715,50,WR
ints_1,signed_resid,827,-0.00890667256287227,0.7981421433848876,0.00890667256287227,51,WR
NOISE_CONTROL,signed_resid,827,0.006854942129595353,0.84395597251763,0.006854942129595353,52,WR
n_train_seasons,signed_resid,827,-0.006690561998477633,0.8476515866608602,0.006690561998477633,53,WR
depth_chart_starter_wk1,signed_resid,827,-0.0038150641701911706,0.91276898374486,0.0038150641701911706,54,WR
proj_apg,signed_resid,0,,,,55,WR
proj_attempts,signed_resid,0,,,,56,WR
proj_pass_yards,signed_resid,0,,,,57,WR
proj_pass_tds,signed_resid,0,,,,58,WR
proj_interceptions,signed_resid,0,,,,59,WR
proj_ypa,signed_resid,0,,,,60,WR
proj_td_per_att,signed_resid,0,,,,61,WR
proj_cpg,signed_resid,0,,,,62,WR
proj_ypc,signed_resid,0,,,,63,WR
