span,variant,position,season,n_train,n_board_vet,n_vet,rho_points,rho_games,mae_games,rho_points_fullvet
2010,ctx,RB,2021,11,59,118,0.6515284364393312,0.2840311322187508,4.106027132713527,0.5934978521609537
2010,ctx,RB,2022,12,37,123,0.3679468942626837,0.05863220840556093,4.688268751471776,0.7054313674660021
2010,ctx,RB,2023,13,52,128,0.3654913344147528,0.2646221106757182,4.209246111427918,0.73380277164957
2010,ctx,RB,2024,14,46,112,0.42122791348776145,0.2688970872882729,3.9393118656009647,0.7822701763640718
2010,ctx,WR,2018,8,40,186,0.6606313624229072,0.2758205905749972,3.84102497864585,0.7279733046332173
2010,ctx,WR,2019,9,49,185,0.5570408163265305,0.2273912157832635,3.235009270620748,0.7473103588683748
2010,ctx,WR,2020,10,50,190,0.42962785114045615,0.2402876965204654,3.5922591360314367,0.7595105997101833
2010,ctx,WR,2021,11,58,197,0.39777289021423623,0.036545541913344755,4.130222857350736,0.7127121558851534
2010,ctx,WR,2022,12,39,193,0.7286806021782077,0.464674446269209,3.372278957856096,0.7267815914994936
2010,ctx,WR,2023,13,61,188,0.5907798887333949,0.1609794972917984,4.284211002385628,0.7786649601611113
2010,ctx,WR,2024,14,54,190,0.4941584555586927,0.2286669740702388,3.4403085599811827,0.7987804600739415
2010,ctx,TE,2018,8,11,89,0.19090909090909092,0.10437561388899017,2.994597634104146,0.6242370112940853
2010,ctx,TE,2019,9,10,90,0.5636363636363636,-0.07951404970357048,4.096072240969704,0.5704290111518108
2010,ctx,TE,2020,10,16,85,0.3058823529411765,-0.10638569678095326,3.624564424361969,0.6310128162891512
2010,ctx,TE,2021,11,17,90,0.36764705882352944,0.22902584907144607,3.691122557895334,0.679688160934921
2010,ctx,TE,2022,12,12,89,0.32867132867132864,0.25254909728539365,2.5576472624716446,0.7784940385341439
2010,ctx,TE,2023,13,17,89,0.6102941176470589,0.22257548876132666,3.385154349235114,0.7582283008784024
2010,ctx,TE,2024,14,16,86,0.3267109052264194,0.05952802792922382,2.9686271174266334,0.7526150612725936
2006,ctx,QB,2018,12,19,65,-0.08596491228070174,0.231754713759663,4.379422693335588,0.6396889665128619
2006,ctx,QB,2019,13,19,72,0.3473684210526316,-0.04146442144313646,4.047362160244325,0.6819626774540241
2006,ctx,QB,2020,14,19,73,0.4245614035087719,-0.009785878909547662,3.9807225078649666,0.7599941280917946
