"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"299",11,"Emari Demercado",KC,"RB88","5","","","3 out of 5 stars","+35"
"300",11,"Kyle Williams",NE,"WR106","11","","","2 out of 5 stars","-38"
"301",11,"Brashard Smith",KC,"RB89","5","","","3 out of 5 stars","-45"
"302",11,"Mack Hollins",NE,"WR107","11","","","2 out of 5 stars","-"
"303",11,"Adam Randall",BAL,"RB90","13","","","3 out of 5 stars","+17"
"304",11,"Mike Gesicki",CIN,"TE37","6","","","3 out of 5 stars","-1"
"305",11,"Isaac Guerendo",SF,"RB91","8","","","2 out of 5 stars","-"
"306",11,"Tahj Brooks",CIN,"RB92","6","","","2 out of 5 stars","-"
"307",11,"Trevor Etienne",CAR,"RB93","5","","","1 out of 5 stars","-"
"308",11,"Charlie Smyth",NO,"K18","8","","","5 out of 5 stars","-"
"309",11,"Isaiah Bond",CLE,"WR108","11","","","3 out of 5 stars","-"
"310",11,"Seth McGowan",IND,"RB94","13","","","4 out of 5 stars","+28"
"311",11,"Jarquez Hunter",LAR,"RB95","11","","","5 out of 5 stars","-26"
"312",11,"Jaleel McLaughlin",DEN,"RB96","10","","","2 out of 5 stars","-"
"313",11,"New Orleans Saints",NO,"DST19","8","","","5 out of 5 stars","-"
"314",11,"Indianapolis Colts",IND,"DST20","13","","","5 out of 5 stars","-"
"315",11,"Skyler Bell",BUF,"WR109","7","","","4 out of 5 stars","+17"
"316",11,"Audric Estime",NO,"RB97","8","","","3 out of 5 stars","-39"
"317",11,"Ja'Kobi Lane",BAL,"WR110","13","","","4 out of 5 stars","-84"
"318",11,"Will Shipley",PHI,"RB98","10","","","4 out of 5 stars","-"
"319",11,"Jake Tonges",SF,"TE38","8","","","3 out of 5 stars","-56"
"320",11,"Joe Mixon",FA,"RB99","-","","","-","-22"
"321",11,"Chicago Bears",CHI,"DST21","10","","","2 out of 5 stars","-104"
"322",11,"Andrei Iosivas",CIN,"WR111","6","","","4 out of 5 stars","-"
